華碩 TUF GAMING B860M-PLUS WIFI(M-ATX/LAN2.5Gb+Wi-Fi 7/註五年)12+1+2+1相,$6490 ◆ ★
[任搭U] 華碩 TUF GAMING B860M-PLUS WIFI(M-ATX/LAN2.5Gb+Wi-Fi 7)12+1+2+1相,$5290 ◆ ★
華碩 TUF GAMING B860-PLUS WIFI(ATX/LAN2.5Gb+Wi-Fi 7/註五年)12+1+2+1相,$6790 ◆ ★
[任搭U] 華碩 TUF GAMING B860-PLUS WIFI(ATX/LAN2.5Gb+Wi-Fi 7)12+1+2+1相,$5590 ◆ ★
華碩 ROG STRIX B860-G GAMING WIFI(M-ATX)買就送A31 PLUS黑 海景房(現賺2390),$7490 ◆ ★ 熱賣
華碩 ROG STRIX B860-A GAMING WIFI(ATX/Intel 2.5Gb+Wi-Fi 7/註五年)14+1+2+1相,$7690 ◆ ★ ↓任搭500↓
[任搭U] 華碩 ROG STRIX B860-A GAMING WIFI(ATX/Intel 2.5Gb+Wi-Fi 7)14+1+2+1相,$6290 ◆ ★
華碩 ROG STRIX B860-F GAMING WIFI(ATX)買就送 A31 PLUS黑 海景房(現賺2390),$8490 ◆ ★ 熱賣
技嘉 B860M D2H(M-ATX/LAN2.5Gb/註四年/2DIMM)6+1+2相,$3990 ◆ ★
技嘉 B860M GAMING WIFI6(M-ATX/LAN2.5G+無線/註五年)8+1+2相,$4690 ◆ ★ ↓任搭100↓
[任搭U] 技嘉 B860M GAMING WIFI6(M-ATX/LAN2.5G+無線/註五年)8+1+2相 *10/31止,$3190 ◆ ★ 熱賣
技嘉 B860M DS3H WIFI6E(M-ATX/LAN2.5G+無線/註四年)5+1+2相,$5290 ◆ ★ ↓任搭100↓
技嘉 B860M GAMING X WIFI6E(M-ATX/LAN2.5G+無線/註四年)8+1+2相,$5590 ◆ ★ ↓任搭100↓
[任搭U] 技嘉 B860M GAMING X WIFI6E(M-ATX/LAN2.5G+無線/註四年)8+1+2相 *10/31止,$4090 ◆ ★ 熱賣
技嘉 B860M AORUS ELITE WIFI6E(M-ATX/LAN2.5G+無線/註五年)12+1+2相*獨家,$6490 ◆ ★ ↓任搭100↓
技嘉 B860M AORUS ELITE WIFI6E ICE(冰魄白)(M-ATX/LAN2.5G+無線)12+1+2相*獨家,$6490 ◆ ★ ↓任搭100↓
技嘉 B860 EAGLE WIFI6E(ATX/LAN2.5G+無線/註四年)12+1+2相,$5990 ◆ ★ ↓任搭100↓
技嘉 B860 GAMING X WIFI6E(ATX/LAN2.5G+無線/註五年)12+1+2相,$6490 ◆ ★ ↓任搭100↓
[任搭U] 技嘉 B860 GAMING X WIFI6E(ATX/LAN2.5G+無線/註五年)12+1+2相 *10/31止,$4990 ◆ ★
技嘉 B860 AORUS ELITE WIFI7 ICE(ATX/LAN2.5G+Wi-Fi 7/註五年)12+1+2相,$7490 ◆ ★ ↓任搭100↓
微星 MPG B860I EDGE TI WIFI(Mini-ITX/Intel 5G+Wi-Fi 7/註五年)8+1+1+1相,$5990 ◆ ★ ↓任搭100↓
微星 PRO B860M-A WIFI(M-ATX/LAN 5G+Wi-Fi 7/註五年)12+1+1+1相,$5090 ◆ ★
微星 B860M GAMING WIFI(M-ATX/Intel 5G+Wi-Fi 7/註五年)8+1+1+1相,$3990 ◆ ★ ↓任搭90↓
微星 B860M GAMING PLUS WIFI(M-ATX/Intel 5G+Wi-Fi 7/註五年)12+1+1+1相,$5690 ◆ ★
微星 MAG B860M MORTAR WIFI(M-ATX/Intel 5G+Wi-Fi 7/註五年)12+1+1+1相*任搭到10/31,$6490 ◆ ★ 熱賣 ↓任搭500↓
微星 PRO B860-P(ATX/LAN 5G/註冊四年保)12+1+1+1相電源設計*任搭到10/31,$4890 ◆ ★ ↓任搭500↓
微星 PRO B860-P WIFI(ATX/LAN 5G/註冊四年保)12+1+1+1相電源設計*任搭到10/31,$5390 ◆ ★ ↓任搭500↓
微星 B860 GAMING PLUS WIFI(ATX/Intel 5G+Wi-Fi 7/註五年)12+1+1+1相*任搭到10/31,$6390 ◆ ★ ↓任搭500↓
微星 MAG B860 TOMAHAWK WIFI(ATX/Intel 5G+Wi-Fi 7/註五年)12+1+1+1相*任搭到10/31,$6890 ◆ ★ 熱賣 ↓任搭500↓
華擎 B860I WiFi(Mini-ITX/LAN2.5G+無線/註五年)8+1+1相供電,$7490↘$4990 ◆ ★ ↓任搭90↓
